lp,tittle,rodzaj,rooms,price [euro],metraż,cena za metr kw [euro],cena za metr kw [zł],bathrooms,garage,terrace,zipcode,rok budowy,ilosc hoteli w poblizu jako wskaznik atrakcyjnosci miejsca
209,"Piso en avenida de San Juan de la Cruz, Amate, Sevilla",mieszkanie,2 hab.,61990,59,1051,4833,1,0,0,41006,1957,1
210,"Piso en avenida del Deporte, 14, Emilio Lemos, Sevilla",mieszkanie,2 hab.,115000,85,1353,6224,1,1,1,41020,2010,6
211,"Piso en avenida Eduardo Dato, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,6 hab.,380000,157,2420,11134,2,0,1,41018,0,5
212,"Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla",mieszkanie,4 hab.,165000,100,1650,7590,2,1,0,41020,2006,6
213,"Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla",mieszkanie,3 hab.,192455,140,1375,6324,2,1,1,41020,2004,6
214,"Piso en avenida Emilio Lemos, Emilio Lemos, Sevilla",mieszkanie,2 hab.,132000,100,1320,6072,1,1,0,41020,2010,6
215,"Piso en avenida Finlandia, Los Bermejales, Sevilla",mieszkanie,3 hab.,305000,101,3020,13891,2,1,0,41012,2010,3
216,"Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla",mieszkanie,5 hab.,895000,214,4182,19238,3,1,1,41011,0,2
217,"Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla",mieszkanie,1 hab.,195000,59,3305,15203,1,0,0,41011,1984,2
218,"Piso en avenida Flota de Indias, Ramón de Carranza - Madre Rafols, Sevilla",mieszkanie,3 hab.,480000,148,3243,14919,2,1,1,41011,1966,2
